Name,Address,Size
Archer House,"2130 Neil Avenue, Columbus, OH 43210",124
Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",314
Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",397
Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",183
Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",711
Bowen House,"2125 N. High Street, Columbus, OH 43210",569
Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",246
Busch House,"2115 N. High Street, Columbus, OH 43210",527
Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",281
Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",690
Fechko House,"220 West 11th Avenue, Columbus, OH 43210",18
German House,"141 West 11th Avenue, Columbus, OH 43210",8
Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",160
Hanley House,"225 West 10th Avenue, Columbus, OH 43210",14
Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",147
Houck House,"61 West Lane Avenue, Columbus, OH 43210",224
Houston House,"97 W. Lane Avenue, Columbus, OH 43210",777
Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",489
Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",492
Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",2763
Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",262
Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",102
Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",3992
Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",404
Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",477
Norton House,"2114 Neil Avenue, Columbus, OH 43210",162
Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",709
Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",1060
Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",249
Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",28
Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",13
Raney House,"33 W. Lane Avenue, Columbus, OH 43210",683
Scholars East,"221 West 10th Avenue, Columbus, OH 43210",48
Scholars West,"249 West 10th Avenue, Columbus, OH 43210",48
Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",596
Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",280
Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",1050
Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",644
The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",1532
Torres House,"187 W. Lane Avenue, Columbus, OH 43210",797
Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",260
