Dorm Name,Dorm Capacity
Archer House,124
Baker Hall East,314
Baker Hall West,397
Barrett House,183
Blackburn House,711
Bowen House,569
Bradley Hall,246
Busch House,527
Canfield Hall,281
Drackett Tower,690
Fechko House,18
German House,8
Halloran House,160
Hanley House,14
Haverfield House,147
Houck House,224
Houston House,777
Jones Tower,489
Lawrence Tower,492
Lincoln Tower,2763
Mack Hall,262
Mendoza House,102
Morrill Tower,3992
Morrison Tower,404
Neil Avenue,477
Norton House,162
Nosker House,709
Park-Stradley Hall,1060
Paterson Hall,249
Pennsylvania Place,28
Pomerene House,13
Raney House,683
Scholars East,48
Scholars West,48
Scott House,596
Siebert Hall,280
Smith-Steeb Hall,1050
Taylor Tower,644
The Residence on Tenth,1532
Torres House,797
Worthington Building,260
